x,y,id,timestamp
333.0,470.0,2-2,2023-01-23 09:04:57.899730
333.0,471.0,2-2,2023-01-23 09:04:57.902263
333.0,471.0,2-2,2023-01-23 09:04:57.907351
333.0,471.0,2-2,2023-01-23 09:04:57.914683
333.0,471.0,2-2,2023-01-23 09:04:57.924230
333.0,471.0,2-2,2023-01-23 09:04:57.927242
334.0,471.0,2-2,2023-01-23 09:04:57.928661
337.0,397.0,3-2,2023-01-23 09:04:57.929734
348.0,388.0,3-2,2023-01-23 09:04:57.940238
358.0,383.0,3-2,2023-01-23 09:04:57.951405
376.0,373.0,3-2,2023-01-23 09:04:57.954542
401.0,356.0,3-2,2023-01-23 09:04:57.976001
403.0,353.0,3-2,2023-01-23 09:04:57.979267
414.0,351.0,3-2,2023-01-23 09:04:57.981882
420.0,346.0,3-2,2023-01-23 09:04:57.985722
434.0,341.0,3-2,2023-01-23 09:04:57.990079
451.0,334.0,3-2,2023-01-23 09:04:57.991872
468.0,330.0,3-2,2023-01-23 09:04:57.993982
482.0,325.0,3-2,2023-01-23 09:04:57.996368
486.0,308.0,3-2,2023-01-23 09:04:58.009031
526.0,320.0,3-2,2023-01-23 09:04:58.011991
540.0,319.0,3-2,2023-01-23 09:04:58.030738
557.0,324.0,3-2,2023-01-23 09:04:58.034636
583.0,334.0,3-2,2023-01-23 09:04:58.037276
593.0,338.0,3-2,2023-01-23 09:04:58.041220
607.0,348.0,3-2,2023-01-23 09:04:58.043622
622.0,362.0,3-2,2023-01-23 09:04:58.046240
627.0,368.0,3-2,2023-01-23 09:04:58.049453
642.0,378.0,3-2,2023-01-23 09:04:58.056351
653.0,394.0,3-2,2023-01-23 09:04:58.060636
659.0,402.0,3-2,2023-01-23 09:04:58.062883
671.0,417.0,3-2,2023-01-23 09:04:58.067061
681.0,434.0,3-2,2023-01-23 09:04:58.071040
690.0,448.0,3-2,2023-01-23 09:04:58.074759
700.0,467.0,3-2,2023-01-23 09:04:58.078154
699.0,471.0,3-2,2023-01-23 09:04:58.084963
709.0,492.0,3-2,2023-01-23 09:04:58.092317
323.0,478.0,2-2,2023-01-23 09:04:58.126658
329.0,470.0,2-2,2023-01-23 09:04:58.130007
332.0,468.0,2-2,2023-01-23 09:04:58.134669
333.0,469.0,2-2,2023-01-23 09:04:58.137564
331.0,470.0,2-2,2023-01-23 09:04:58.145731
332.0,470.0,2-2,2023-01-23 09:04:58.149912
332.0,469.0,2-2,2023-01-23 09:04:58.151786
332.0,469.0,2-2,2023-01-23 09:04:58.156367
331.0,469.0,2-2,2023-01-23 09:04:58.163752
332.0,469.0,2-2,2023-01-23 09:04:58.170117
332.0,469.0,2-2,2023-01-23 09:04:58.175913
332.0,470.0,2-2,2023-01-23 09:04:58.180088
332.0,470.0,2-2,2023-01-23 09:04:58.187405
332.0,470.0,2-2,2023-01-23 09:04:58.201680
333.0,470.0,2-2,2023-01-23 09:04:58.205104
333.0,472.0,2-2,2023-01-23 09:04:58.221557
332.0,470.0,2-2,2023-01-23 09:04:58.232945
332.0,470.0,2-2,2023-01-23 09:04:58.239126
332.0,470.0,2-2,2023-01-23 09:04:58.249870
333.0,469.0,2-2,2023-01-23 09:04:58.257096
332.0,470.0,2-2,2023-01-23 09:04:58.263163
333.0,470.0,2-2,2023-01-23 09:04:58.283227
332.0,470.0,2-2,2023-01-23 09:04:58.291611
333.0,469.0,2-2,2023-01-23 09:04:58.305199
333.0,470.0,2-2,2023-01-23 09:04:58.313997
333.0,470.0,2-2,2023-01-23 09:04:58.320821
333.0,470.0,2-2,2023-01-23 09:04:58.327369
333.0,471.0,2-2,2023-01-23 09:04:58.332590
333.0,471.0,2-2,2023-01-23 09:04:58.337147
333.0,471.0,2-2,2023-01-23 09:04:58.343962
333.0,471.0,2-2,2023-01-23 09:04:58.349942
333.0,471.0,2-2,2023-01-23 09:04:58.358250
334.0,471.0,2-2,2023-01-23 09:04:58.377662
334.0,471.0,2-2,2023-01-23 09:04:58.387253
334.0,471.0,2-2,2023-01-23 09:04:58.391937
337.0,397.0,3-2,2023-01-23 09:04:58.412370
348.0,388.0,3-2,2023-01-23 09:04:58.416555
358.0,383.0,3-2,2023-01-23 09:04:58.423304
376.0,373.0,3-2,2023-01-23 09:04:58.430857
401.0,356.0,3-2,2023-01-23 09:04:58.437562
403.0,353.0,3-2,2023-01-23 09:04:58.447030
414.0,351.0,3-2,2023-01-23 09:04:58.453760
420.0,346.0,3-2,2023-01-23 09:04:58.459067
434.0,341.0,3-2,2023-01-23 09:04:58.463062
451.0,334.0,3-2,2023-01-23 09:04:58.470153
468.0,330.0,3-2,2023-01-23 09:04:58.475388
482.0,325.0,3-2,2023-01-23 09:04:58.480190
486.0,308.0,3-2,2023-01-23 09:04:58.489863
526.0,320.0,3-2,2023-01-23 09:04:58.498464
540.0,319.0,3-2,2023-01-23 09:04:58.509512
557.0,324.0,3-2,2023-01-23 09:04:58.514116
583.0,334.0,3-2,2023-01-23 09:04:58.529585
593.0,338.0,3-2,2023-01-23 09:04:58.542850
607.0,348.0,3-2,2023-01-23 09:04:58.550249
622.0,362.0,3-2,2023-01-23 09:04:58.561838
627.0,368.0,3-2,2023-01-23 09:04:58.563659
642.0,378.0,3-2,2023-01-23 09:04:58.570611
653.0,394.0,3-2,2023-01-23 09:04:58.584123
659.0,402.0,3-2,2023-01-23 09:04:58.594838
671.0,417.0,3-2,2023-01-23 09:04:58.603792
681.0,434.0,3-2,2023-01-23 09:04:58.612409
